CREDIT:, North London Waste Authority, https://www.nlwa.gov.uk/our-office, By: Abdul
Plastic trays,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/plastic-trays,plastic trays,"These can be recycled at home. Please just give them a quick rinse to make sure there is no food left inside. Remove film lids, absorbent pads and any cardboard packaging but labels can be left on."
Plastic tubs,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/plastic-tubs,plastic tubs,These can be recycled at home. Please just give them a quick rinse to make sure there is no food left inside. Remove film lids and any cardboard packaging but labels can be left on.
Plate scrappings,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/plate-scrappings,plate scrapings,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste service, cooked foods like this would need to go in your general waste bin - or if you have space, subsidised home composters or wormeries can be purchased from your local council, enabling you to dispose of organic waste like fruit and vegetable peel."
Polystyrene,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/polystyrene,Polystyrene,"Polystyrene is very cheap to produce but recycling it would require a lot of energy, meaning that it is not worth it. Put it in your general waste."
Post-it notes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/post-it-notes,post it notes,"Although these are made from paper, they also contain adhesive to make them sticky so are not recyclable. Please put them in your general waste."
Postage stamps,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/postage-stamps,postage stamps,"Many charities accept used stamps as they can benefit from reusing them. Alternatively, they can be left on mailed items and placed in your household recycling."
Pottery,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/pottery,pottery,"If they're in good condition, ceramics/pottery/earthenware could be sold online, taken to a charity shop or given away on Freecycle or Freegle. If broken or not in good condition, they can be taken to one of north London's reuse and recycling centres (RRC)"
Printer cartridges,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/printer-cartridges,printer cartridges,"There are many charities which welcome unwanted ink cartridges. You can also find local stores who will refill ink cartridges so you can re-use them. Alternatively, you can take them to one of north London's reuse and recycling centres (RRC)."
Printers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/printers,printers,"If you have a household electrical item that is in good condition, it could be sold or donated for reuse or to charity. If the items is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or make use of your local council's bulky collection service. If it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London.Or for information about how to dispose of larger electrical, including a free collection from Clearabee, visit our page about recycling electrical items."
Projectors,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/projectors,projectors,"If you have a household electrical item that is in good condition, it could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London. Or for information about how to dispose of larger electrical, including a free collection from Clearabee, visit our page about recycling electrical items."
Punnets,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/punnets,punnets,"These can be recycled at home. Please just give them a quick rinse to make sure there is no food left inside. Remove film lids, absorbent pads and any cardboard packaging but labels can be left on."
Pyrex,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/pyrex,pyrex,"Pyrex products cannot be accepted for recycling because the type of glass used in microwave plates, pyrex and plate glass melts at a different temperature from the glass used for bottles and jars. This means that if the plate, pyrex or microwave glass is mixed with bottle and jar glass it causes imperfections in the end product. If plate glass or pyrex enters the glass recycling process it can result in new containers being rejected. It is therefore not something that either the smelting plant or the manufacturers want and it should therefore not be included in your recycling."
Radios,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/radios,radio,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London. For more information visit our page about recycling electrical items."
Rags,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/rags,rags,Old used fabric like rags can be taken to an on-street collection bank or to a reuse and recycling centre (RRC) where it will be sorted and recycled.
Raw fish,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/raw-fish,raw fish,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste service, the food would need to go in your general waste bin."
Raw meat,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/raw-meat,raw meat,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste service, the food would need to go in your general waste bin."
Records,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/records,records,"Records that are in good condition can be sold or given away online or donated to charity. However if the record is not in good condition, they cannot be recycled so would need to go in your general waste."
Rice,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/rice,rice,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste service, cooked foods like this would need to go in your general waste bin - or if you have space, subsidised home composters or wormeries can be purchased from your local council, enabling you to dispose of organic waste like fruit and vegetable peel."
Rugs,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/rugs,rugs,"Household items that are in good condition could be sold or donated for reuse or to charity. If the item cannot be reuse, you can dispose of this at one of north London's reuse and recycling centres (RRC) or make use of your local council's bulky collection service."
Rulers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/rulers,rulers,"We can't recycle plastic rulers so please put them in your general waste. A metal ruler could be sold or donated for reuse or to charity. Alternatively, take it to one of north London's reuse and recycling centres (RRC) to be recycled."
Sanitary products,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/sanitary-products,sanitary products,"Sanitary products are made from a combination of natural and synthetic materials. For this reason and for hygiene reasons, they cannot be recycled and should go in the general waste (not flushed down the toilet)."
Sat navs,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/sat-navs,sat navs,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London."
Saucepans,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/saucepans,saucepans,"Saucepans that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) where it can be recycled."
School equipment,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/school-equipment,school,"Community Recycle is a scheme established by companies operating within the external school environment sector. They collect, coordinate and donate overstocked, unsellable items, returned goods and second-hand equipment to schools in across the UK. Goods that would otherwise be left in storage or sent for disposal are put to good use in the community, saving schools money and brightening up school grounds across the UK. The types of material on offer include:polycarbonate sheetsshade sailspost padsoutdoor furniture itemsYou will find more information for the scheme on the Community Recycle website."
School uniforms,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/school-uniforms,school uniform,"Ask if the school offers a take-back scheme. This allows parents to purchase pre-worn uniform at a reduced price. If there is no take-back scheme, consider setting one up with other parents, or ask the school for advice. They may be happy for the uniform to be donated to charity or they could even set up a collection point themselves. They can contact their uniform supplier or Local Education Authority for advice. If the uniform is not suitable for reuse, it can be deposited in one of north London's on-street collection banks or taken to a reuse and recycling centre (RRC) where it will be sorted and recycled."
Scrap metal,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/scrap-metal,scrap metal,"This can be recycled at one of north London's reuse and recycling centres (RRC) or take it to any scrap metal merchant. Alternatively, you could make use of your local council's bulky collection service."
Sellotape,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/sellotape,sellotape,Thin adhesive plastic like sticky tape cannot be recycled. Please put it in your general waste.
Sewing machines,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/sewing-machines,sewing machines,"If you have a household electrical item that is in good condition, it could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London.Or for information about how to dispose of larger electrical, including a free collection from Clearabee, visit our page about recycling electrical items."
Shampoo bottles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/shampoo-bottles,shampoo bottles,"These can be recycled at home. Empty and rinse well, remove cardboard packaging but labels can be left on."
Shoes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/shoes,shoes,"If they're in good condition, shoes could be sold online, taken to a charity shop or given away on Freecycle or Freegle. Alternatively, if they are not in good condition, they can be deposited in one of north London's on-street collection banks or taken to a reuse and recycling centre (RRC)."
Shredded paper,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/shredded-paper,shredded paper,"Shredded paper is included in the specification for the Materials Recovery Facilities (MRFs), which sort north Londoners’ recycling into the different individual materials. Please put your shredded paper in the recycling but please place it in a paper envelope before putting it in with the rest of the material. This is so that it doesn’t blow around everywhere when picked up or go everywhere in the MRF.For more information see: https://www.recyclenow.com/what-to-do-with/paper-0"
Sideboards,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/sideboards,sideboards,"These can be recycled at one of north London's reuse and recycling centres (RRC). Alternatively, you could make use of your local council's bulky collection service."
Single-use plastic,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/single-use-plastic,single use plastic,"The end market for these types of products has never been very reliable, so the Materials Recovery Facilities which sort the recycling into different individual materials don’t want single-use plastic cutlery, plates and cups because they are unlikely to be able to sell them so that they can be made into new products."
Small appliances,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/small-appliances,electrical,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London. For more information visit our page about recycling electrical items."
Smoke alarms,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/smoke-alarms,smoke alarms,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the items is not reusable and it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London, or you can take it to one of north London's reuse and recycling centres (RRC) to be recycled. For more information visit our page about recycling electrical items."
Soap dispensers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/soap-dispensers,soap dispensers,"These can be recycled at home. Empty and rinse well, labels can be left on. Pumps and triggers on plastic bottles are likely to be a different material to the plastic bottle so, ideally, we would ask people to remove these so they are separated from the bottle. However, if the triggers/pumps remain attached to the bottles many will pop-off during processing, so will be removed that way. In addition, in some cases the recycling will go first to the Materials Recovery Facilities (MRFs), for sorting into the different individual materials, but the plastics may then go on to a second sorting plant called a plastics recovery facility (PRF) for further sorting and they will then be extracted there."
Sofa,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/sofa,"sofa, sofas, settee, settees","If furniture is in good condition, it could be sold or donated for reuse or to charity. Some local authorities and charities might even collect reusable items from your home. Please note that any furniture containing upholstery needs to have a fire label on it, or it cannot be reused (see Reuse Network for more information). If the item is not reusable, you could take it to one of north London's reuse and recycling centres (RRC) or make use of your local council's bulky collection service."
Soil,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/soil,soil,"Soil can be taken to a north London reuse and recycling centre (RRC) to be reused, but not Gateway Road in Waltham Forest. Please also note that you can only take six bags."
Soup,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/soup,soup,"If your local council provides a food waste collection service where you live, any solid pieces in soup could be drained out and disposed of in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste service, the food would need to go in your general waste bin."
Soup Cartons,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/soup-cartons,soup cartons,These can be recycled at home. Please give a quick rinse and remove plastic tops or straws.
Soup pots,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/soup-pots,soup pots,These can be recycled at home. Please just give them a quick rinse to make sure there is no food left inside. Remove film lids and any cardboard packaging but labels can be left on.
Spectacles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/spectacles,spectacles,Some opticians and charity shops will accept old spectacles for repair and shipment to developing countries. Vision Aid also provides a recycling services. See their website for more information.
Spirit bottles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/spirit-bottles,spirit bottles,All colours of glass can be recycled at home. Please just empty and rinse.
Squash bottles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/squash-bottles,squash bottles,"These can be recycled at home. Empty and rinse well, remove cardboard packaging but labels can be left on."
Squeezable tubes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/squeezable-tubes,"squeezable bottles, toothpaste tubes","Squeezable plastic tubes that contain products such as toothpaste or hand cream can only be recycled if they are totally clean inside. Unless you cut them open to remove all the contents, they should go into the general waste. Alternatively, Terracycle has a number of drop-off points where toothpaste tubes, toothbrushes and packaging can be recycled. However, pump action toothpaste tubes can be recycled."
Stamps,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/stamps,stamps,"Many charities accept used stamps as they can benefit from reusing them. Alternatively, they can be left on mailed items and placed in your household recycling."
Stereos,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/stereos,stereos,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London. Or for information about how to dispose of larger electrical, including a free collection from Clearabee, visit our page about recycling electrical items."
Sticky labels,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/sticky-labels,sticky labels,"Although these are made from paper, they also contain adhesive to make them sticky so are not recyclable. Please put them in your general waste."
Sticky tape,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/sticky-tape,sticky tape,Thin adhesive plastic like sticky tape cannot be recycled. Please put it in your general waste.
Stones,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/stones,stones,"This can be taken to one of north London's reuse and recycling centres (RRC) where you can recycle hardcore material such as rubble, concrete and soil."
Stools,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/stools,stools,"If furniture is in good condition, it could be sold or donated for reuse or to charity. Some local authorities and charities might even collect reusable items from your home. Please note that any furniture containing upholstery needs to have a fire label on it, or it cannot be reused (see Reuse Network website page for more information). If the item is not reusable, you could take it to one of north London's reuse and recycling centres (RRC) or make use of your local council's bulky collection service."
Straws,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/straws,straws,These should not go in the recycling because they are so small that they often won’t get picked up in the equipment used for sorting out the different materials in the MRF. If they are not picked up they will be transported through the whole MRF process by conveyor belts and just drop off at the end into the containers for material which is going to be disposed. Please include straws in your residual rubbish for disposal so that it can be picked up straight away as rubbish for disposal.
Sunbeds,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/sunbeds,sunbeds,"If large electrical appliances are in good condition, they could be sold or donated for reuse or to charity. Some local authorities and charities might even collect reusable items from your home. If the item is not reusable, there are lots of ways to recycle it, including a free collection through Clearabee. For more information visit our page about recycling electrical items. If taking the sun bed to one of north London's reuse and recycling centres, it must be dismantled first. The fluorescent tubes must be removed from the frame and then placed in the dedicated container. The frame can be placed in the electrical recycling container."
Sweet tins,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/sweet-tins,sweet tins,sweet tins
Sweet wrappers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/sweet-wrappers,"confectionary wrappers, sweet wrapper, snack wrapper, plastic wrapper, chocolate bar wrapper","Thin plastic wrappers such as sweet or chocolate bar wrappers are made from low-quality plastic and are not recycled. TerraCycle also has a number of drop-off points where confectionary wrappers can be recycled. Alternatively, please put them in your general waste."
Syringes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/syringes,Syringes,"If you need to dispose of medical waste such as syringes or needles, speak to your GP or pharmacist to acquire a ‘sharps box’ and contact your local council to arrange free collection. This waste should not be put in your rubbish or recycling bins as it can harm our operational staff.There are companies that offer services for commercial premises. Search online or see the waste disposal services section of the Yellow Pages or yell.com for more information."
Tables,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/tables,tables,"If furniture is in good condition, it could be sold or donated for reuse or to charity. Some local authorities and charities might even collect reusable items from your home. If the item is not reusable, you could take it to one of north London's reuse and recycling centres (RRC) or make use of your local council's bulky collection service."
Tablet (electrical),https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/tablet-electrical,tablet,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London. For more information visit our page about recycling electrical items."
Take away trays,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/take-away-trays,take away trays,These can be recycled at home. Please just give them a quick rinse to make sure there is no food left inside.
Tea bags,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/tea-bags,tea bags,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin, including tea bags. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste services, food would have to go in your general waste bin - or if you have space, subsidised home composters or wormeries can be purchased from your local council, enabling you to dispose of organic waste like fruit and vegetable peel."
Tea towels,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/tea-towels,tea towels,Old used fabric like rags can be taken to an on-street collection bank or to a reuse and recycling centre (RRC) where it will be sorted and recycled.
Telephone,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/telephone,telephone,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London. For more information visit our page about recycling electrical items."
Telephone directories,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/telephone-directories,telephone directories,"These can be recycled at home. Please just make sure they have no dirt, foodstuffs, grease or paint on them."
Textiles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/textiles,"textiles, clothes","Fabric in good condition could be sold online, given away to or donated to charity. Alternatively, it can be deposited in one of north London's on-street collection banks or taken to a reuse and recycling centre (RRC) where it will be sorted and recycled."
Tiles (floor and wall),https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/tiles-floor-and-wall,Tiles,"These can be recycled at one of north London's reuse and recycling centres (RRC). Alternatively, you could make use of your local council's bulky collection service."
Timber,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/timber,timber,"This can be recycled at one of north London's reuse and recycling centres (RRC). Alternatively, you could make use of your local council's bulky collection service."
Tissue,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/tissue,tissue,"Even if they're clean, tissues are not recyclable. This is because they are made from paper with very short fibres - and in order to be useful for recycling into something new, the fibres would need to be longer. Paper can only be recycled a certain number of times because the fibres get shorter each time. Please put tissues in the general waste."
Toner cartridges,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/toner-cartridges,ink cartridges,Ink and toner cartridges are accepted at all our Resuse and Recycling Centres for resuse. There are many charities which welcome unwanted ink cartridges. You can also find local stores who will refill ink cartridges so you can re-use them.
Tools,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/tools,tools,"Tools for Self Reliance collect and refurbish hand tools (except gardening tools), for free shipment to developing countries. You can deliver the tools or they can be collected if necessary. You might also be able to sell or give tools away online. However, if you have broken tools, these can be taken to a reuse and recycling centre (RRC) where the metal can be recycled."
Toothpaste tubes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/toothpaste-tubes,toothpaste tubes,"Squeezable plastic tubes that contain products such as toothpaste or hand cream can only be recycled if they are totally clean inside. Unless you cut them open to remove all the contents, they should go into the general waste. Alternatively, Terracycle has a number of drop-off points where toothpaste tubes, toothbrushes and packaging can be recycled. However, pump action toothpaste tubes can be recycled."
Torches,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/torches,torches,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London. For more information visit our page about recycling electrical items."
Tree logs,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/tree-logs,tree logs,Tree logs up to 30cm (12 inches) in diameter or 2m (79 inches) in length can go into your garden waste bin. Anything larger than this can be taken to one of north London's reuse and recycling centres (RRCs).
Tumble dryers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/tumble-dryers,tumble dryers,"If large electrical appliances are in good condition, they could be sold or donated for reuse or to charity. Some local authorities and charities might even collect reusable items from your home. If the item is not reusable, there are lots of ways to recycle it, including a free collection through Clearabee - visit our page about recycling electrical items."
Turf,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/turf,turf,"If you have leftover turf, you could offer it for free online on sites such as Freecycle or Gumtree. You could also turn it upside down to kill weeds or use as a loam. If the turf is not reusable, it can be taken to a north London reuse and recycling centre (RRC), but not Gateway Road in Waltham Forest. Please also note that you can only take six bags."
TVs & monitors,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/tvs-monitors,TVs,"If you have a household electrical item that is in good condition, it could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC), you can make use of your local council's bulky collection service or you can book a free recycling collection service through Clearabee. For more information visit our page about recycling electrical items."
Tyres,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/tyres,tyres,"Over 38 million tyres are discarded in the UK each year, sometimes illegally. If you get your tyres changed at a garage they will dispose of the old ones for you. If you have an old tyre which need disposing of, you can take it to Summers Lane Reuse and Recycling Centre"
Underwear,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/underwear,underwear,Underwear in 'new' condition which have not been worn can be sold online or given away. Some charity shops will accept used bras or you can take them to one of north London's on-street collection banks or to a reuse and recycling centre (RRC) to be reused or recycled.
Used engine oil,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/used-engine-oil,used engine oil,Used engine oil discarded down storm drains can cause considerable environmental damage if it leaches into watercourses and/or groundwater. Take it to one of north London's reuse and recycling centres (RRC) where it can be disposed of.
Vape liquid bottle,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/vape-liquid-bottle,vape liquid bottle,"These can be recycled at home. Empty and rinse well, labels can be left on"
Vases,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/vases,vase,"Glass cookware, drinking glasses or vases cannot be recycled at home. This is because they have been specially treated in the manufacturing process to withstand high temperatures. If they get mixed up with glass bottles and jars, they can cause imperfections in the new glass, or even cause explosions in the smelting process. If they're in good condition, vases could be sold online, taken to a charity shop or given away on Freecycle or Freegle. If broken or not in good condition, they can be taken to one of north London's reuse and recycling centres (RRC)"
Vegetable oil,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/vegetable-oil,vegetable oil,"Liquid oil cannot go into your food waste bin (if your council offers a food waste service). However, it can be taken to one of north London's reuse and recycling centres (RRC) . Once cooled, simply collect it in a plastic or glass bottle, and check which RRC to go to (they do not all accept fat). The oil will be converted into high quality bio-fuel for the distribution and power-generation industries. If you cannot access an RRC, cooking oil can be put in a sealed container and disposed of your general waste bin. Alternatively, old cooking oil can also be composted at home but just make sure it's mixed well with paper or cardboard first."
Vegetable trays,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/vegetable-trays,vegetable trays,"These can be recycled at home. Please just give them a quick rinse to make sure there is no food left inside. Remove film lids, absorbent pads and any cardboard packaging but labels can be left on."
Vegetables,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/vegetables,vegetables,"Raw or cooked vegetables, including peelings, skins and fruit stones can go into your food waste bin."
Vegware,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/vegware,vegware,"Compostable plastic is a material made from renewable materials such as vegetable starch and soy protein. Compostable plastic should be put into your general waste and not your food waste or garden waste. This is because in north London food waste is processed in anaerobic digestion (AD) facilities and mixed food and garden waste goes to in-vessel composting (IVC) facilities. All packaging (compostable liners / Vegware / plastic bags) is removed from food and garden waste by ‘de-packaging’ machinery and disposed of. This has to be done because non-compostable items are often put into the food/garden waste when they shouldn’t be, causing contamination. The de-packaging machinery we use is not currently able to distinguish between compostable and non-compostable packaging when removing contaminants."
Vending cups,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/vending-cups,vending cups,"Plastic vending cups cannot be recycled and should go in your general waste. If the vending cup appears to be made from paper then the inner lining of cups is actually made from a mixture of paper and plastic, like a coffee cup. There are some coffee cup recycling schemes available in some shops including Costa and Starbucks but if you are not able to take your coffee cup to one of these locations, it should go in the general waste bin. Investing in a reusable coffee cup is a great way to reduce waste and save money (lots of coffee sellers offer discounts to customers with a reusable cup)."
Video recorders,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/video-recorders,video recorders,"If you have a household electrical item that is in good condition, it could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London. Or for information about how to dispose of larger electrical, including a free collection from Clearabee, visit our page about recycling electrical items."
Video tapes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/video-tapes,video tapes,"Some charity shops might take video cassette (VHS) tapes but many will not. If you are unable to find any other way to reuse them, VHS tapes will have to go in the general waste."
Wallpaper,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/wallpaper,wallpaper,"This can be recycled at home. Please just make sure it has no dirt, foodstuffs, grease, glue or paint on it."
Wardrobes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/wardrobes,wardrobes,"If furniture is in good condition, it could be sold or donated for reuse or to charity. Some local authorities and charities might even collect reusable items from your home. Alternatively, you could take it to one of north London's reuse and recycling centres (RRC) or make use of your local council's bulky collection service."
Washer dryers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/washer-dryers,washer dryers,"If large electrical appliances are in good condition, they could be sold or donated for reuse or to charity. Some local authorities and charities might even collect reusable items from your home. If the item is not reusable, there are lots of ways to recycle it, including a free collection through Cleerabee - visit our page about recycling electrical items."
